Log 10/07/2018 00:00:00
16:15	Ok	OnStart	Servicio inicializado.
16:15	Ok	MailService	Se ha enviado un mail con el asunto: Se ha inicializado el servicio de Fichada
16:15	Ok	ConnectServer()	Cache ConnectionStringSERVER = 192.168.4.20;PORT = 1972;NAMESPACE = SHAMAN;PASSWORD = sys;USER ID = _system;
16:15	Ok	LeerRelojes()	Buscando relojes en 
16:15	Ok	LeerRelojes()	Se encontraron 1 relojes
16:16	Ok	ProcesarRelojes()	Procesando 1 relojes
16:16	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
16:16	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
16:16	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
16:16	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
16:17	Ok	ProcesarRelojes()	Procesando 1 relojes
16:17	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
16:17	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
16:17	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
16:17	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
16:18	Ok	ProcesarRelojes()	Procesando 1 relojes
16:18	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
16:18	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
16:18	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
16:18	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
16:19	Ok	ProcesarRelojes()	Procesando 1 relojes
16:19	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
16:19	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
16:19	Ok	clkZKSoft()	Procesando registros de 192.168.4.240:4370
16:19	Ok	ConnectServer()	Cache ConnectionStringSERVER = 192.168.4.20;PORT = 1972;NAMESPACE = SHAMAN;PASSWORD = sys;USER ID = _system;
16:19	Ok	clkZKSoft()	Envios a Server1: Server=192.168.4.20;Port=1972;Namespace=SHAMAN;User ID=_system;Password=sys;
16:19	Ok	clkZKSoft()	Cantidad de Registros: 1
16:19	Ok	clkZKSoft()	Revisando Legajo: 9096
16:19	Ok	clkZKSoft()	Fecha del Registro: 2018-7-10 16:17:32
16:19	Ok	FuncionPrueba2()	SetFichada CacheDebug: S VAR=##class(PanelC.RelojesIngresos).SetFichada("1", "9096", "2018-07-10 15:13:14", "CLOCK")
16:19	Ok	FuncionPrueba2()	SetFichada OK
16:19	Ok	clkZKSoft()	SetFichada CacheDebug: 
16:19	Error	clkZKSoft()	SetFichada Error: 
16:19	Ok	ConnectServer()	Cache ConnectionStringSERVER = 200.49.156.125;PORT = 1972;NAMESPACE = SHAMAN;PASSWORD = sys;USER ID = _system;
16:19	Ok	clkZKSoft()	Envios a Server2: Server=200.49.156.125;Port=1972;Namespace=SHAMAN;User ID=_system;Password=sys;
16:19	Ok	clkZKSoft()	Cantidad de Registros: 1
16:19	Ok	clkZKSoft()	Revisando Legajo: 9096
16:19	Ok	clkZKSoft()	Fecha del Registro: 2018-7-10 16:17:32
16:19	Ok	clkZKSoft()	SetFichada CacheDebug: 
16:19	Error	clkZKSoft()	SetFichada Error: 
16:19	Ok	clkZKSoft()	Vaciar Reloj 1 Ip: 192.168.4.240:4370
16:19	Ok	clkZKSoft()	Se vació RelojId 1 Ip: 192.168.4.240:4370
16:19	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
16:20	Ok	ProcesarRelojes()	Procesando 1 relojes
16:20	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
16:20	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
16:20	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
16:20	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
16:21	Ok	ProcesarRelojes()	Procesando 1 relojes
16:21	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
16:21	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
16:21	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
16:21	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
16:22	Ok	ProcesarRelojes()	Procesando 1 relojes
16:22	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
16:22	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
16:22	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
16:22	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
16:23	Ok	ProcesarRelojes()	Procesando 1 relojes
16:23	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
16:23	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
16:23	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
16:23	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
16:23	Ok	OnStop	Se ejecutó el método OnStop, el servicio deja de estar activo.
16:23	Ok	MailService	Se ha enviado un mail con el asunto: Se ha detenido el servicio de Fichada
